TIPO DE MORTE;ANO;MÊS;DIA;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;ZONA
HOMICIDIO;2012;12;quinta-feira;NI;ALECRIM;OFICINA MECANICA DE BICHAO;MASCULINO;NEGRA;24;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2013;11;quinta-feira;00:00-04:00;ALECRIM;R DOS CAICOS Nº 1347;MASCULINO;NEGRA;46;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2015;7;quinta-feira;04:00-08:00;ALECRIM;R DOS CANINDES;FEMININO;PARDA;51;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2014;10;quinta-feira;12:00-16:00;ALECRIM;R EPITACIO PESSOA;MASCULINO;BRANCA;24;NI;NI;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;6;quinta-feira;NI;FELIPE CAMARÃO;TV SAO VICENTE Nº 36;MASCULINO;PARDA;30;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;8;quinta-feira;NI;GUARAPES;R LAGOA SECA;MASCULINO;PARDA;27;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;8;quinta-feira;16:00-20:00;ALECRIM;R SATIRO DIAS;MASCULINO;PARDA;21;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;6;quinta-feira;20:00-24:00;ALECRIM;RUA DOS CAICÓS, 1517;MASCULINO;PARDA;48;BORRACHEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2017;2;quinta-feira;16:00-20:00;ALECRIM;AV. PRESIDENTE BANDEIRA, VILA SAO FRANCISCO EM FRENTE A CASA Nº 682 A - PROX A ASSEMBLEIA DE DEUS - ENTRE OS BANCOS BRADESCO E CAIXA;MASCULINO;PARDA;21;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2017;7;quinta-feira;00:00-04:00;ALECRIM;AV 6 COM AV. 4, PADARIA AVENIDA;MASCULINO;PARDA;28;VENDEDOR;NI;ARMA DE FOGO;Leste
HOMICIDIO;2015;11;quinta-feira;16:00-20:00;BOM PASTOR;AV CAP MOR GOUVEIA;MASCULINO;NEGRA;26;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LATROCINIO;2015;2;quinta-feira;20:00-24:00;NOSSA SRA DA APRESENTAÇÃO;MERCADINHO OLIVEIRA, JARDIM PROGRESSO;MASCULINO;BRANCA;52;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;12;quinta-feira;16:00-20:00;BOM PASTOR;AV MIGUEL CASTRO - EM FRENTE A RESIDENCIA N º1113;MASCULINO;PARDA;44;AGENTE JUDICIARIO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;12;quinta-feira;16:00-20:00;BOM PASTOR;NI;MASCULINO;PARDA;67;NI;NI;ARMA DE FOGO;Oeste
LATROCINIO;2014;1;quinta-feira;16:00-20:00;NOSSA SRA DA APRESENTAÇÃO;R DOS CANAEIROS Nº 32 LC;FEMININO;NEGRA;32;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;12;quinta-feira;16:00-20:00;BOM PASTOR;R HENRIQUE DIAS Nº 61;MASCULINO;PARDA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;5;quinta-feira;00:00-04:00;BOM PASTOR;RUA SAPAIO JERUSALEM (NO MANGUE) NO SALGADO, PROXIMO A DVN MARMORE, PROXIMO AO MERCADINHO SAO JOAO BATISTA;MASCULINO;PARDA;19;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;3;quinta-feira;NI;CANDELÁRIA;R OCIDENTAL DE BAIXO, PACO DA PATRIA VP;MASCULINO;BRANCA;25;CARPINTEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2015;2;quinta-feira;08:00-12:00;CANDELÁRIA;R OCIDENTAL DE BAIXO,829, PACO DA PATRIA VP;MASCULINO;NEGRA;41;DESEMPREGADO;NI;ARMA DE FOGO;Sul
HOMICIDIO;2017;3;quinta-feira;00:00-04:00;CANDELÁRIA;RUA DR. LAURO PINTO, EM FRENTE AO Nº 696;MASCULINO;PARDA;22;CARROCEIRO;NI;ARMA DE FOGO;Sul
HOMICIDIO;2012;5;quinta-feira;NI;CAPIM MACIO;R:PROF. ANTONIO HENRIQUE DE MELO,PROX CCAB SUL ;MASCULINO;NEGRA;52;NI;NI;ARMA DE FOGO;Sul
HOMICIDIO;2017;1;quinta-feira;12:00-16:00;CAPIM MACIO;RUA MISSIONARIO GUNNAR VINGREN, S/N;MASCULINO;PARDA;30;VIGILANTE;NI;ARMA DE FOGO;Sul
HOMICIDIO;2013;1;quinta-feira;20:00-24:00;CIDADE ALTA;PACO DA PATRIA;MASCULINO;NEGRA;22;DESEMPREGADO;NI;ARMA BRANCA;Leste
HOMICIDIO;2016;1;quinta-feira;04:00-08:00;CIDADE ALTA;R PRINCESA ISABEL;MASCULINO;PARDA;28;MORADOR DE RUA;NI;ARMA BRANCA;Leste
LATROCINIO;2014;12;quinta-feira;NI;CIDADE ALTA;PACO DA PATRIA;MASCULINO;NEGRA;54;NI;NI;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;11;quinta-feira;12:00-16:00;POTENGI;R SIDEROPOLIS;MASCULINO;NEGRA;52;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2016;9;quinta-feira;NI;CIDADE ALTA;RUA PAULO BARBOSA - AO LADO CASA 522;MASCULINO;PARDA;40;PESCADOR;NI;ARMA DE FOGO;Leste
HOMICIDIO;2012;3;quinta-feira;04:00-08:00;CIDADE ALTA;TV SAO FRANCISCO COM A TV SANTO AFONSO - NO PACO DA PATRIA - NATAL;MASCULINO;BRANCA;28;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2015;4;quinta-feira;12:00-16:00;CIDADE ALTA;UMA RESIDENCIA NA R PORTO SEGURO - 700 - PACO DA PATRIA;MASCULINO;PARDA;35;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2014;9;quinta-feira;20:00-24:00;CIDADE ALTA;NO VIADUTO DO BALDO, PROXIMO DE UM BAR;MASCULINO;NEGRA;48;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;OBJETO CONTUNDENTE;Leste
HOMICIDIO;2013;6;quinta-feira;20:00-24:00;CIDADE DA ESPERANÇA;AV CAP MOR GOUVEIA;MASCULINO;PARDA;25;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2013;5;quinta-feira;20:00-24:00;CIDADE DA ESPERANÇA;AV CAP MOR GOUVEIA;MASCULINO;PARDA;27;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;12;quinta-feira;NI;CIDADE DA ESPERANÇA;AV CAPITAO MOR GOUVEIA - EM FRENTE A RODOVIARIA;MASCULINO;PARDA;24;CARREGADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;5;quinta-feira;16:00-20:00;CIDADE DA ESPERANÇA;AV RIO GRANDE DO Norte;MASCULINO;NEGRA;2;ESTUDANTE A;PRE-ESCOLA;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2013;11;quinta-feira;16:00-20:00;NOSSA SRA DA APRESENTAÇÃO;AV MARANGUAPE;MASCULINO;NEGRA;20;COPEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;11;quinta-feira;12:00-16:00;CIDADE DA ESPERANÇA;R AREIA BRANCA Nº 20;MASCULINO;NEGRA;33;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;7;quinta-feira;12:00-16:00;CIDADE DA ESPERANÇA;R CABUGI, NOVA CIDADE;MASCULINO;PARDA;19;EX DETENTO DESOCUPADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;12;quinta-feira;NI;CIDADE DA ESPERANÇA;R CORTEZ PEREIRA;MASCULINO;PARDA;21;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;8;quinta-feira;NI;CIDADE DA ESPERANÇA;R LUIZ FELIPE ;MASCULINO;BRANCA;22;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;9;quinta-feira;12:00-16:00;CIDADE DA ESPERANÇA;RUA PERIMENTAL SUL ;MASCULINO;PARDA;27;NI;NI;ARMA DE FOGO;Oeste
