TIPO DE MORTE;ANO;MÊS;DIA;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;ZONA
HOMICIDIO;2014;1;sábado;20:00-24:00;AREIA PRETA;AV GOVERNADOR SILVIO PEDROSA;MASCULINO;NEGRA;31;DECORADOR;ENSINO SUPERIOR;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;5;domingo;16:00-20:00;NOSSA SRA DA APRESENTAÇÃO;AV INDUSTRIAL;MASCULINO;NEGRA;21;ABATEDOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2012;10;domingo;NI;MÃE LUÍZA;ENTRE A TV CAMARAGIBE COM ANTONIO FELIX;MASCULINO;NEGRA;24;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;12;domingo;NI;MÃE LUÍZA;R ALTO DA COLINA E A 5 TV JOAO XXIII;MASCULINO;NEGRA;19;SEM PROFISSAO;NI;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;1;domingo;20:00-24:00;MÃE LUÍZA;R ATALAIA;MASCULINO;PARDA;48;SERVIDOR PUBLICO;ENSINO SUPERIOR;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;10;domingo;00:00-04:00;MÃE LUÍZA;R GUANABARA;MASCULINO;PARDA;24;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2014;6;domingo;NI;MÃE LUÍZA;R GUANABARA;MASCULINO;NEGRA;41;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2013;6;domingo;12:00-16:00;BOM PASTOR;TV LIMA E SILVA Nº 2;MASCULINO;PARDA;58;AUXILIAR DE ALMOXARIFADO DE OBRAS;ENSINO MEDIO COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2014;7;domingo;16:00-20:00;MÃE LUÍZA;R JOAO XXIII, ESQUINA DA 4ª TV, PROXIMO A IGREJA;MASCULINO;NEGRA;29;BISCATEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2014;5;domingo;NI;POTENGI;CONJUNTO SANTA CATARINA;MASCULINO;NEGRA;30;AUXILIAR DE ALMOXARIFADO DE OBRAS;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;2;domingo;00:00-04:00;MÃE LUÍZA;R NOVA Nº 02;MASCULINO;PARDA;36;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2012;6;domingo;20:00-24:00;MÃE LUÍZA;R PRES GONCALVES Nº 849;MASCULINO;NEGRA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2013;5;domingo;16:00-20:00;MÃE LUÍZA;TV ATALAIA, DE FRENTE A RESIDENCIA DE Nº 557;MASCULINO;PARDA;30;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2014;2;domingo;16:00-20:00;MÃE LUÍZA;TV LARGO DO FAROL Nº 02;MASCULINO;NEGRA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2016;5;domingo;16:00-20:00;CIDADE DA ESPERANÇA;NI;MASCULINO;PARDA;43;AGRICULTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2015;12;domingo;04:00-08:00;MÃE LUÍZA;NA FEIRA PUBLICA;MASCULINO;PARDA;44;ARTESAO;ENSINO SUPERIOR;ARMA DE FOGO;Leste
HOMICIDIO;2015;10;domingo;20:00-24:00;MÃE LUÍZA;R CAMARAGIBE;MASCULINO;NEGRA;29;CARROCEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2012;8;domingo;NI;CIDADE NOVA;R PADRE CICERO ,PROX. AO TERMINAL DA LINHA 40;MASCULINO;BRANCA;51;AGRICULTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;11;domingo;04:00-08:00;MÃE LUÍZA;R NOVA;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2014;11;domingo;16:00-20:00;MÃE LUÍZA;R SAQUAREMA;MASCULINO;NEGRA;30;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;7;domingo;08:00-12:00;MÃE LUÍZA;TV ATALAIA COM TV. GUANABARA;MASCULINO;PARDA;25;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2013;4;domingo;12:00-16:00;TIROL;R EXPEDICIONARIO JOSE MONTEIRO ;FEMININO;NEGRA;39;AUXILIAR DE COZINHA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2017;7;domingo;12:00-16:00;MÃE LUÍZA;RUA SAO JOSE, PROXIMO AO BAR DE TIQUINHA, PROXIMO A PADARIA, NA LOCALIDADE CONHECIDA COMO BACIA, PROXIMO AO FAROL DE AME LUIZA;MASCULINO;PARDA;32;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2015;12;domingo;20:00-24:00;NOSSA SRA DA APRESENTAÇÃO;R CEL PESSOA EM FRENTE AO Nº 85 JARDIM PRIMAVERA;MASCULINO;NEGRA;27;AUXILIAR DE ELETRICISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2013;10;domingo;20:00-24:00;GUARAPES;GRANJA DA PONTE , S/N;MASCULINO;PARDA;65;AGRICULTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;2;domingo;20:00-24:00;DIX-SEPT ROSADO;TV SEVERINO DE PAIVA , EM FRENTE AO N° 35 - A VP;MASCULINO;BRANCA;21;AUXILIAR DE PIZZAIOLO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;12;domingo;04:00-08:00;PONTA NEGRA;R ALTO DA BOA VISTA, 383;MASCULINO;PARDA;28;NI;NI;ARMA DE FOGO;Sul
HOMICIDIO;2016;5;domingo;20:00-24:00;PONTA NEGRA;R DO CURRUPIO, EM FRENTE AO Nº 190;MASCULINO;NEGRA;26;DESEMPREGADO;NI;ARMA DE FOGO;Sul
HOMICIDIO;2016;10;domingo;16:00-20:00;PONTA NEGRA;TV PRAIA DOS REIS , 10;MASCULINO;PARDA;47;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2017;4;domingo;04:00-08:00;PONTA NEGRA;RUA INACIO VALE, Nº 04 PROXIMO AO HOTEL RIFFOLES;MASCULINO;PARDA;20;VENDEDOR;NI;PEDRADA;Sul
LATROCINIO;2017;4;domingo;04:00-08:00;PONTA NEGRA;AV PRAIA DE GENIPABU EM FRENTE AO CONDOMINIO MARIA CLARA, PROXIMO AO PLANETA ANIMAL, PROXIMO AO PRAIA SHOPPING;MASCULINO;PARDA;59;MOTORISTA;NI;ARMA DE FOGO;Sul
HOMICIDIO;2017;9;domingo;04:00-08:00;PONTA NEGRA;AV ENGENHEIRO ROBERTO FREIRE - POR TRAS DA BOATE WOODS;FEMININO;PARDA;16;ESTUDANTE;NI;ESPANCAMENTO;Sul
HOMICIDIO;2012;1;domingo;20:00-24:00;REDINHA;R BEIRA RIO, PROX AO RIO DOCE;MASCULINO;NEGRA;57;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Norte
HOMICIDIO;2017;10;domingo;16:00-20:00;REDINHA;RUA TORRE DA ESPERANÇA, PROXIMO AO GALPAO, PROXIMO A RESIDENCIA DA VITIMA;MASCULINO;PARDA;26;PINTOR DE CARRO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;10;domingo;16:00-20:00;REDINHA;RUA TORRE DA ESPERANÇA, PROXIMO AO GALPAO, PROXIMO A RESIDENCIA DA VITIMA;MASCULINO;PARDA;16;DESEMPREGADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;8;domingo;00:00-04:00;REDINHA;AV LITORANEA, LOCAL CONHECIDO COMO ARENA DE LUXO, CASA DE LUCIANO EQUIPADORA, PROXIMO A GABI BEBIDAS;MASCULINO;PARDA;19;ESTUDANTE;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;11;domingo;00:00-04:00;LAGOA AZUL;R AMELIA CRISTINA - BAR DO JOSE;MASCULINO;NEGRA;24;BALCONISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;3;domingo;NI;REDINHA;MERCADO PUBLICO DA REDINHA;MASCULINO;NEGRA;23;PESCADOR;NI;ARMA DE FOGO;Norte
HOMICIDIO;2013;9;domingo;12:00-16:00;REDINHA;PRAIA DA REDINHA;MASCULINO;PARDA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;9;domingo;20:00-24:00;REDINHA;R BEBERIBE;MASCULINO;PARDA;23;CARROCEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;9;domingo;20:00-24:00;REDINHA;R BEBERIBE;MASCULINO;PARDA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;9;domingo;20:00-24:00;REDINHA;R BEBERIBE;MASCULINO;NEGRA;27;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;4;domingo;00:00-04:00;REDINHA;R CONSTRUTOR SEVERINO BEZERRA, EM FRENTE AO MERCADINHO EDUARDO, 31 - ALTO DA TORRE;MASCULINO;NEGRA;24;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2012;3;domingo;20:00-24:00;REDINHA;R MANOEL CAETANO;MASCULINO;NEGRA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;2;domingo;16:00-20:00;REDINHA;R MANOEL CAETANO - QUINTAL DO BAR DO EDILSON;MASCULINO;BRANCA;19;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;9;domingo;00:00-04:00;REDINHA;R PARAISO;MASCULINO;NEGRA;25;RECICLADOR;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;11;domingo;NI;REDINHA;R RIO DOCE ;MASCULINO;NEGRA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;1;domingo;16:00-20:00;QUINTAS;R SANTA HELENA;MASCULINO;PARDA;27;AGRICULTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;5;domingo;12:00-16:00;REDINHA;R SAO LUIZ / EM FRENTE A PANIFICADORA BELEM;MASCULINO;NEGRA;30;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2012;9;domingo;NI;REDINHA;R VITORINE , COMUNIDADE AFRICA;MASCULINO;PARDA;19;NI;NI;ARMA DE FOGO;Norte
LESAO CORPORAL SEGUIDA DE MORTE;2013;9;domingo;00:00-04:00;SANTOS REIS;R DA ESPERANCA I;MASCULINO;PARDA;33;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2014;1;domingo;16:00-20:00;BOM PASTOR;R CEL COELHO;MASCULINO;NEGRA;37;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2012;3;domingo;04:00-08:00;MÃE LUÍZA;R GUANABARA;MASCULINO;NEGRA;20;APOSENTADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2017;8;domingo;20:00-24:00;REDINHA;ESTACIONAMENTO AO LADO DO MERCADO PUBLICO, AO LADO DA PLACA DE TAXI, EM FRENTE AO PORTAO DO REDINHA CLUBE;MASCULINO;PARDA;34;NI;NI;ARMA DE FOGO;Norte
HOMICIDIO;2016;7;domingo;00:00-04:00;CIDADE DA ESPERANÇA;RUA CAMPINA GRANDE;MASCULINO;PARDA;26;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;10;domingo;16:00-20:00;SANTOS REIS;R DA ESPERANCA;MASCULINO;NEGRA;22;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;6;domingo;NI;SANTOS REIS;TERMINAL DE ONIBUS DE BRASILIA TEIMOSA;MASCULINO;PARDA;29;ARTISTICA PLASTICO;NI;ASFIXIA MECANICA PROVOCADA;Leste
HOMICIDIO;2016;7;domingo;12:00-16:00;ALECRIM;AV MANOEL MIRANDA -PROXIMO A FEIRA DO CARRASCO;MASCULINO;BRANCA;35;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Leste
HOMICIDIO;2014;11;domingo;12:00-16:00;CIDADE DA ESPERANÇA;AV RIO GRANDE DO SUL;MASCULINO;PARDA;65;APOSENTADO;NI;NAO IDENTIFICADO;Oeste
HOMICIDIO;2016;4;domingo;20:00-24:00;ALECRIM;AV PRES BANDEIRA, 100;MASCULINO;PARDA;57;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2016;12;domingo;00:00-04:00;ALECRIM;AV PTE BANDEIRA COM JAGUARARI;MASCULINO;PARDA;41;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2014;10;domingo;00:00-04:00;ALECRIM;R ARY PARREIRA VP;MASCULINO;PARDA;38;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;4;domingo;08:00-12:00;LAGOA AZUL;R 3 LAGOAS, 83;MASCULINO;PARDA;31;APOSENTADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2012;5;domingo;00:00-04:00;LAGOA AZUL;R DA TOADA Nº 1007;MASCULINO;PARDA;58;APOSENTADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2012;9;domingo;NI;ALECRIM;R PAIANAZES;MASCULINO;NEGRA;47;DESEMPREGADO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;7;domingo;00:00-04:00;ALECRIM;RUA PROF SOARES, 525 (CORREDOR DO 1º ANDAR DO PREDIO CARANDIRU);MASCULINO;NEGRA;30;BISCATEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2017;7;domingo;00:00-04:00;ALECRIM;RUA NONATO MOTA COM ROCHA POMBO;MASCULINO;NI;32;NI;NI;ARMA DE FOGO;Leste
HOMICIDIO;2017;12;domingo;16:00-20:00;ALECRIM;TV SAO LUCAS, Nº 13, PROXIMO AO MERCADINHO LS, PROXIMO AO FRICARNES;MASCULINO;PARDA;29;AUXILIAR MECANICO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2013;6;domingo;16:00-20:00;IGAPÓ;R SANTA LUZIA ,VILA PARAISO;MASCULINO;PARDA;40;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;3;domingo;NI;BOM PASTOR;R JERUSALEM S/N;MASCULINO;PARDA;33;FEIRANTE;NI;ARMA BRANCA;Oeste
HOMICIDIO;2016;4;domingo;16:00-20:00;BOM PASTOR;AV BOM PASTOR ESQ COM AMINTAS BARROS;MASCULINO;NEGRA;30;DETENTO FUGITIVO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;6;domingo;20:00-24:00;BOM PASTOR;AV MANOEL MIRANDA;MASCULINO;NEGRA;32;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;12;domingo;16:00-20:00;BOM PASTOR;EM FRENTE A PRACA DO BEIJOQUEIRO;MASCULINO;PARDA;27;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;12;domingo;16:00-20:00;BOM PASTOR;EM FRENTE A PRACA DO BEIJOQUEIRO;MASCULINO;PARDA;35;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;12;domingo;04:00-08:00;BOM PASTOR;EM FRENTE A PRACA DO BEIJOQUEIRO;MASCULINO;PARDA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;9;domingo;20:00-24:00;BOM PASTOR;ENCONTRADO NA R BIANOR MEDEIROS - EM FRENTE AO Nº 131;MASCULINO;PARDA;46;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;3;domingo;00:00-04:00;BOM PASTOR;FAVELA DO CAMBUIM, POR TRAS DO CEMITERIO DE BOM PASTOR;MASCULINO;PARDA;12;MENOR DEPENDENTE;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2013;4;domingo;16:00-20:00;BOM PASTOR;POR TRAS DO CEMITERIO ;MASCULINO;PARDA;30;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
MATRICIDIO;2014;2;domingo;20:00-24:00;NEÓPOLIS;R CAMPANARIO Nº 4934;FEMININO;BRANCA;80;APOSENTADO;NI;ARMA BRANCA;Sul
HOMICIDIO;2016;1;domingo;20:00-24:00;NOSSA SRA DA APRESENTAÇÃO;R PEDRA BRANCA, VALE DOURADO;MASCULINO;NEGRA;27;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2014;3;domingo;20:00-24:00;BOM PASTOR;R DOS PAIATIS - NO BAR DO EDVALDO;MASCULINO;BRANCA;34;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;12;domingo;04:00-08:00;BOM PASTOR;R JERUSALEM;MASCULINO;NEGRA;39;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;3;domingo;00:00-04:00;BOM PASTOR;R JERUSALEM, EM FRENTE AO 44;MASCULINO;NEGRA;28;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;3;domingo;12:00-16:00;BOM PASTOR;R PARAISO DO Norte;MASCULINO;PARDA;25;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;3;domingo;08:00-12:00;BOM PASTOR;R PRES CASTELO BRANCO;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2016;4;domingo;04:00-08:00;PAJUÇARA;SHOCK CASA SHOW ;MASCULINO;NEGRA;21;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Norte
HOMICIDIO;2015;10;domingo;12:00-16:00;BOM PASTOR;R SAMPAIO CORREIA;MASCULINO;NEGRA;22;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;11;domingo;20:00-24:00;BOM PASTOR;R SAMPAIO CORREIA;MASCULINO;PARDA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;7;domingo;00:00-04:00;PAJUÇARA;AV MAR DO LESTE;MASCULINO;NEGRA;44;APOSENTADO;NI;ARMA BRANCA;Norte
HOMICIDIO;2015;6;domingo;16:00-20:00;BOM PASTOR;R TONRECA DANTAS, ESC. COM MIGUEL CASTRO;MASCULINO;NEGRA;23;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;12;domingo;16:00-20:00;BOM PASTOR;RUA HENRIQUE DIAS;MASCULINO;NI;25;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;10;domingo;16:00-20:00;BOM PASTOR;RUA MANOEL MIRANDA ;MASCULINO;NI;27;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2015;10;domingo;12:00-16:00;BOM PASTOR;TV DR NAPOLEAO LAUREANO;MASCULINO;NEGRA;27;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;9;domingo;16:00-20:00;PAJUÇARA;RUA SANTA CATARINA DE SENA - EM FRENTE AO Nº 639 PARQUE FLORESTA;MASCULINO;PARDA;23;APOSENTADO;NI;ARMA DE FOGO;Norte
HOMICIDIO;2017;9;domingo;04:00-08:00;BOM PASTOR;ENCONTRADO KM 6 AO LADO DA AV.JOAO FRANCISCO DA MOTA - ESCOLA MUNICIPAL FRANCISCA FERREIRA;MASCULINO;NI;40;AUTONOMO;NI;ARMA DE FOGO;Oeste
LESAO CORPORAL SEGUIDA DE MORTE;2017;5;domingo;08:00-12:00;BOM PASTOR;RUA NEMESIO PALMEIRAS DE LEMOS, PROXIMO AO CEMITERIO;MASCULINO;PARDA;26;CARROCEIRO;NI;ARMA BRANCA;Oeste
HOMICIDIO;2017;9;domingo;08:00-12:00;BOM PASTOR;RUA DA PAZ;FEMININO;PARDA;27;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
LATROCINIO;2017;8;domingo;12:00-16:00;BOM PASTOR;RUA JOAO FRANCISCO DA MOTA, EM FRENTE AO POSTO DE COMBUSTÍVEL CARAÚ;MASCULINO;PARDA;31;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2017;4;domingo;16:00-20:00;BOM PASTOR;RUA DESCONHECIDA, ENTRE A RUA DA PAZ, Nº 132 E A RUA MARCIA MAIA, PROXIMO A CRECHE FREI DAMIAO;MASCULINO;BRANCA;20;PENSIONISTA;NI;ARMA DE FOGO;Oeste
LATROCINIO;2014;12;domingo;12:00-16:00;CANDELÁRIA;EM FRENTE A SUA RESIDENCIA - R SANTA MARTA;MASCULINO;PARDA;70;FUNCIONARIO PUBLICO APOSENTADO;NI;ARMA DE FOGO;Sul
HOMICIDIO;2014;10;domingo;20:00-24:00;PLANALTO;R SAO JOAO GREGORIO, PROX AO CJ SANTA CLARA;MASCULINO;PARDA;33;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2015;5;domingo;16:00-20:00;CIDADE ALTA;AV DO CONTORNO, PACO DA PATRIA;MASCULINO;NEGRA;14;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;Leste
HOMICIDIO;2016;3;domingo;12:00-16:00;CIDADE ALTA;R DA MISERICORDIA, PACO DA PATRIA;MASCULINO;NEGRA;35;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2015;4;domingo;12:00-16:00;CIDADE ALTA;R NOSSA SENHORA DA PAZ, EM FRENTE DO N° 79 - PACO DA PATRIA;MASCULINO;PARDA;20;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2013;1;domingo;NI;CIDADE ALTA;R PORTO SEGURO Nº 706;MASCULINO;NEGRA;48;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;3;domingo;20:00-24:00;CIDADE ALTA;R RIBAMAR /;MASCULINO;BRANCA;29;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2016;11;domingo;00:00-04:00;CIDADE ALTA;RUA NOSSA SENHORA APARECIDA;MASCULINO;PARDA;22;NI;NI;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2012;7;domingo;16:00-20:00;CIDADE ALTA;VIA PUBLICA -BEIRA RIO -PACO DA PATRIA;MASCULINO;BRANCA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
HOMICIDIO;2017;10;domingo;12:00-16:00;CIDADE ALTA;RUA OCIDENTAL DE BAIXO, NO BECO DO CANINDE, EM FRENTE AO MERCADINHO VITORIA, RUA LATERAL DA ESCOLA MARECI GOMES;FEMININO;PARDA;17;DESEMPREGADO;NI;ARMA DE FOGO;Leste
LESAO CORPORAL SEGUIDA DE MORTE;2016;8;domingo;16:00-20:00;QUINTAS;RUA SAMPAIO CORREIA;MASCULINO;PARDA;27;APOSENTADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2014;2;domingo;12:00-16:00;CIDADE DA ESPERANÇA;FEIRA LIVRE;MASCULINO;BRANCA;56;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;Oeste
HOMICIDIO;2014;11;domingo;20:00-24:00;CIDADE DA ESPERANÇA;R MANOEL CASTRO;MASCULINO;PARDA;48;NI;NI;ARMA BRANCA;Oeste
HOMICIDIO;2016;2;domingo;00:00-04:00;CIDADE DA ESPERANÇA;AV PARAIBA;MASCULINO;NEGRA;22;DESEMPREGADO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;7;domingo;04:00-08:00;CIDADE DA ESPERANÇA;AV PERIMENTRAL SUL;MASCULINO;NEGRA;17;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;7;domingo;04:00-08:00;CIDADE DA ESPERANÇA;AV. PARAIBA;MASCULINO;PARDA;24;SEM PROFISSAO;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2012;1;domingo;20:00-24:00;CIDADE DA ESPERANÇA;BAIRRO JARDIM AMERICA;MASCULINO;BRANCA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2014;2;domingo;16:00-20:00;NOVA DESCOBERTA;R PADRE GERMANO;MASCULINO;BRANCA;27;COPEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;Sul
HOMICIDIO;2013;10;domingo;20:00-24:00;CIDADE DA ESPERANÇA;R NATAL;MASCULINO;NEGRA;38;NI;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;2;domingo;20:00-24:00;CIDADE DA ESPERANÇA;R OTAVIO RODRIGUES C/ A TV ALVORADA - NOVA CIDADE;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;2;domingo;20:00-24:00;CIDADE DA ESPERANÇA;R OTAVIO RODRIGUES C/ A TV ALVORADA - NOVA CIDADE;MASCULINO;PARDA;34;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Oeste
HOMICIDIO;2016;2;domingo;08:00-12:00;CIDADE DA ESPERANÇA;R PERIMETRAL LESTE, FEIRA DA ESPERANCA, TROCA-TROCA;MASCULINO;NEGRA;31;FEIRANTE;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;5;domingo;08:00-12:00;CIDADE DA ESPERANÇA;RUA SAMPAIO CORREIA/EM FRENTE AO PORTAO DO DETRAN;MASCULINO;NEGRA;24;EX DETENTO TRABALHADOR;NI;ARMA DE FOGO;Oeste
HOMICIDIO;2016;2;domingo;20:00-24:00;MÃE LUÍZA;R JOSE RIBAMAR;MASCULINO;PARDA;27;AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;Leste
